gid,nx,ny,dist_dfs_m
나다6391,43,56,2340.588960696977
나다6392,43,56,1698.0945196154705
나다6393,43,56,1512.8427916210046
나다6394,43,56,1921.942149694203
나다6395,43,56,2664.4004844209726
나다6396,43,57,2347.9176962045526
나다6397,43,57,1667.21737928043
나다6482,44,54,2511.1362178853474
나다6483,44,54,2476.601460456629
나다6488,44,55,2540.9510201848593
나다6489,44,55,2854.6842992047036
나다6490,43,55,3432.595359685312
나다6491,43,56,3078.439797840606
나다6492,43,56,2623.3489862274237
나다6493,43,56,2507.414648228727
나다6494,43,56,2773.4989693099815
나다6495,43,56,3331.285764892449
나다6496,43,57,3059.6351873560584
나다6582,44,54,1556.3599289403714
나다6583,44,54,1500.001972522589
나다6588,44,55,1556.269204775021
나다6589,44,55,2028.4881559620826
나다6590,44,55,2794.200164631343
나다6591,44,56,2345.5848208303028
나다6592,44,56,1748.724663861936
나다6593,44,56,1616.8821071087898
나다6594,44,56,2042.1991936581699
나다6682,44,54,733.9668603193392
나다6683,44,54,605.3569535467556
나다6684,44,54,1481.2854992768237
나다6685,44,54,2453.9674854260334
나다6687,44,55,833.5017860426589
나다6688,44,55,622.5075007449117
나다6689,44,55,1442.3265752356676
나다6690,44,55,2402.7268489735625
나다6691,44,56,1821.045791959137
나다6692,44,56,934.0650805493157
나다6693,44,56,654.7880366890636
나다6694,44,56,1408.9063742068304
나다6782,44,54,809.4186034943715
나다6783,44,54,694.9159408469193
나다6784,44,54,1520.0848180294215
나다6785,44,54,2477.5809861968023
나다6787,44,55,812.5681375053431
나다6788,44,55,594.1862832784649
나다6789,44,55,1430.331325387111
나다6790,44,55,2395.5454622133607
나다6791,44,56,1769.3635582080462
나다6792,44,56,828.804681094501
나다6793,44,56,493.1399372325023
나다6884,44,54,2104.069622811776
나다6887,44,55,1620.434734520802
나다6888,44,55,1522.694680488796
나다6889,44,55,2002.8453387958468
나다6890,44,55,2775.640432816114
나다6891,44,56,2223.7551631906776
나다6984,44,54,2922.9368965605536
나다6988,44,55,2506.8188687540783
나다6989,44,55,2824.3461547566812
나다6990,44,55,3416.0974170881345
나다6991,44,56,2959.649751325274
나다7084,45,54,2137.1703042517083
나다7086,45,55,2252.8032432477785
나다7087,45,55,1708.8823687509948
나다7088,45,55,1662.959845476827
나다7089,45,55,2147.2288990949737
나다7090,45,55,2907.8769648231187
나다7091,45,56,2355.0175918895206
나다7186,45,55,1690.6734894899876
나다7187,45,55,838.7689464355202
나다7286,45,55,1625.3095838457336
나다7299,45,57,1307.4836901702074
나다7397,45,57,1430.1981350736996
나다7399,45,57,1785.3139722851802
나다7496,45,57,2819.992809939358
나다7497,45,57,2350.1700119659163
나다7498,45,57,2257.0420293335424
나다7499,45,57,2581.700671885158
나다7585,46,55,3023.339288509882
나다7586,46,55,2267.06049965114
나다7596,46,57,2473.295042206075
나다7597,46,57,1960.1847586139618
나다7598,46,57,1888.7721434847037
나다7599,46,57,2300.5643073179085
나다7685,46,55,2596.485154783347
나다7696,46,57,1846.5902966433462
나다7697,46,57,1065.3786396200592
나다7698,46,57,927.4521916843014
나다7699,46,57,1607.8878971997208
나다7783,46,54,681.0207231051294
나다7784,46,54,1611.6314505440098
나다7796,46,57,1643.9595741725445
나다7797,46,57,654.0175866250846
나다7798,46,57,390.9922322965334
나다7799,46,57,1370.4053589422192
나다7883,46,54,1489.5952917150937
나다7884,46,54,2086.255219330495
나다7885,46,55,2818.518151464706
나다7886,46,55,1985.7057752262956
나다7896,46,57,1998.8272660161972
나다7897,46,57,1311.657867536772
나다7898,46,57,1202.323701659598
나다7899,46,57,1780.6510623010238
나다7985,46,55,3397.8227257611434
나다7996,46,57,2699.632900456282
나다7997,46,57,2239.007306671268
나다7998,46,57,2176.761273412556
나다7999,46,57,2542.3268010879283
나다8096,47,57,2493.943515176814
나다8097,47,57,2024.9781126792545
나다8098,47,57,1995.3241482946048
나다8099,47,57,2421.17751449685
나다8197,47,57,1099.2274182100027
나다8198,47,57,1043.5914032235905
나다8199,47,57,1723.3296599373368
나다8297,47,57,562.1970091162176
나다8298,47,57,443.67508043248824
나다8299,47,57,1441.398514268115
나다8397,47,57,1193.2434945030343
나다8398,47,57,1142.1961902892897
나다8399,47,57,1784.7672781202937
나다8498,47,57,2100.565804069456
나다8499,47,57,2508.6169092078435
나다8599,48,57,2542.176409260083
나다8698,48,57,1160.9398642622136
나다8699,48,57,1840.0162129156279
나다8752,48,48,675.2281686844791
나다8753,48,48,1293.6277302347198
나다8797,48,57,482.59904793507826
나다8798,48,57,520.3653874221899
나다8851,48,48,1889.765417852023
나다8852,48,48,1669.9559752151158
나다8853,48,48,2001.5725277401032
나다8897,48,57,1075.1281826190414
나다8898,48,57,1092.6018965849019
