gid,30,70
마라3794,230.4,537.4
마라3894,71.9,167.6
마라4498,121.1,282.6
마라4497,118.3,275.9
마라4699,87.8,204.7
마라4496,68.2,145.5
마라4495,45.1,92.7
마라3484,207.0,482.8
마라4494,66.8,144.8
마라3584,261.6,610.3
마라4493,67.9,158.4
마라3684,192.1,448.2
마라4492,50.8,112.3
마라3784,129.3,301.7
마라4491,95.1,221.9
마라4389,130.5,304.3
마라4490,93.6,218.3
마라4793,104.8,244.6
마라4186,288.1,672.0
마라4388,37.4,70.4
마라4792,55.8,112.2
마라4488,31.8,50.8
마라4184,274.0,639.1
마라4285,239.9,559.6
마라4790,55.2,126.2
마라5699,68.4,130.8
마라3678,225.2,525.4
마라5799,121.2,282.8
마라5596,196.8,459.1
마라5798,64.9,131.2
마라5595,29.4,48.5
마라5695,36.2,73.2
마라5492,97.9,228.3
마라5591,122.3,285.2
마라5590,105.5,246.1
마라5589,60.0,136.6
마마4602,62.7,146.0
마마4500,109.4,255.0
마마4600,78.4,182.9
마마5206,40.4,66.5
마마5204,69.6,139.4
마마5809,117.2,273.0
마마5303,51.7,106.9
마마5908,46.2,106.7
마마5907,116.2,271.1
마마5906,249.6,581.6
마마5703,196.8,459.1
마마5804,50.3,99.6
마마5803,47.7,102.4
다사2371,310.8,725.0
다사2370,198.6,463.4
다사1762,348.3,812.5
다사1963,208.8,487.1
다사2063,152.1,354.8
다사2164,151.8,354.1
다사1860,193.2,450.6
다사2163,179.3,418.4
다사2261,116.4,271.6
다사2362,116.7,272.4
다사2260,91.2,212.8
다사2361,107.3,250.4
다사2360,113.0,263.7
다사2561,83.5,194.8
다사5388,110.3,257.5
다사3366,291.8,680.8
다사5689,220.4,514.2
다사2759,116.5,271.9
다사5385,177.7,414.5
다사3465,324.1,756.1
다사5485,299.8,699.4
다사5687,171.0,398.8
다사3464,87.6,204.3
다사5585,98.4,229.5
다사5686,94.1,219.7
다사3564,131.6,307.0
다사5584,201.9,471.2
다사5685,98.2,228.9
다사4169,97.4,227.2
다사5583,105.0,245.1
다사4269,77.3,180.3
다사5582,104.7,244.3
다사5784,153.6,358.5
다사4268,98.6,230.0
다사5480,258.8,603.7
다사5581,105.0,245.0
다사5884,315.6,736.3
다사3257,239.8,559.4
다사3358,128.5,299.8
다사4267,104.3,243.5
다사4368,193.9,452.2
다사5580,71.0,149.5
다사5984,114.6,267.5
다사3256,149.1,347.8
다사3357,132.5,309.1
다사3559,230.7,538.3
다사3660,147.0,342.9
다사3761,306.6,715.3
다사3862,241.7,563.9
다사3963,94.5,220.5
다사4266,227.5,530.7
다사4367,107.8,251.4
다사5478,151.8,354.1
다사5579,265.6,619.8
다사6084,109.1,254.5
다사3356,327.3,763.7
다사3659,291.1,679.3
다사3861,43.5,95.4
다사3962,77.9,181.6
다사4063,137.8,321.5
다사4366,318.3,742.7
다사4467,162.0,378.0
다사5578,108.3,252.7
다사6184,90.6,211.3
다사3961,110.0,256.5
다사4062,76.2,177.7
다사4365,133.0,310.4
다사6183,119.0,277.5
다사3758,201.5,470.1
다사3859,148.3,345.9
다사4162,192.3,448.6
다사4465,199.7,466.0
다사4566,113.6,265.2
다사4768,98.6,230.1
다사4869,67.7,147.5
다사6182,97.8,228.2
다사6283,67.9,108.0
다사3959,93.8,218.8
다사4161,197.9,461.7
다사4262,247.4,577.2
다사4464,106.4,248.1
다사4565,94.3,220.1
다사4767,103.3,241.1
다사6181,42.6,83.0
다사4362,123.5,288.1
다사4564,135.5,316.1
다사4766,117.7,274.6
다사6382,200.3,467.3
다사4462,135.1,315.3
다사4563,140.9,328.7
다사4664,26.3,41.3
다사4765,59.8,130.2
다사4663,135.5,316.0
다사5067,66.6,155.2
다사4662,129.5,302.2
다사4864,68.1,158.9
다사4965,102.3,238.6
다사5066,100.1,233.4
다사6076,154.1,359.5
다사3651,88.5,206.4
다사3752,115.5,269.5
다사3853,119.5,278.8
다사4257,96.9,226.1
다사4560,245.9,573.6
다사4762,209.8,489.3
다사5772,51.5,77.3
다사7085,252.0,587.9
다사3650,83.5,194.9
다사3751,111.0,259.0
다사4155,71.1,165.8
다사4256,99.3,231.6
다사4357,154.1,359.6
다사4559,92.5,215.7
다사5872,44.7,67.1
다사6074,236.3,551.4
다사3750,87.3,203.8
다사4154,62.6,136.7
다사4457,80.1,186.9
다사4558,161.4,376.7
다사5871,58.5,87.9
다사3547,312.9,730.0
다사3749,87.3,203.8
다사5971,34.4,51.7
다사3546,97.2,226.8
다사3647,145.4,339.2
다사5162,176.6,411.8
다사5263,138.2,322.5
다사5970,38.2,57.3
다사6071,62.3,144.7
다사6172,217.3,507.0
다사3747,124.4,290.2
다사4252,94.9,221.5
다사5363,355.3,829.0
다사5969,40.0,60.0
다사6070,48.0,72.0
다사6171,267.9,624.8
다사6272,138.3,322.7
다사6373,24.0,36.0
다사3544,111.8,260.8
다사3645,63.6,101.3
다사3746,25.4,40.5
다사3847,79.0,184.3
다사4251,69.3,161.6
다사5261,268.2,625.7
다사5968,23.1,34.7
다사6372,25.5,38.4
다사6473,17.5,26.3
다사3442,62.7,137.0
다사3543,226.3,528.0
다사3644,102.8,239.9
다사3745,88.6,206.6
다사3846,119.5,278.9
다사3947,106.6,248.7
다사5967,17.6,17.7
다사6068,19.1,28.7
다사3542,183.8,428.7
다사3643,73.7,171.7
다사3744,167.2,390.2
다사3845,63.6,101.3
다사5966,16.1,24.2
다사6067,17.2,20.9
다사6370,219.5,512.0
다사6471,66.8,100.3
다사6572,66.3,99.5
다사3642,45.4,79.8
다사3743,47.0,101.9
다사6066,17.1,18.2
다사6369,178.2,415.6
다사6571,45.6,97.7
다사3742,236.4,551.5
다사3843,235.3,548.9
다사4550,115.3,269.1
다사6469,159.6,372.3
다사3741,104.4,243.6
다사3842,174.5,407.0
다사3943,62.9,136.3
다사4044,92.4,215.5
다사4852,45.5,99.8
다사6468,278.5,649.7
다사6569,254.0,592.7
다사3841,100.3,234.0
다사3942,62.7,135.7
다사4043,116.9,272.8
다사4750,88.1,205.6
다사5760,129.7,302.7
다사6063,65.0,140.0
다사4143,113.9,265.7
다사4648,130.0,303.3
다사5860,103.1,240.5
다사6062,129.8,302.8
다사4344,78.4,182.8
다사5859,102.3,238.7
다사6162,117.6,274.4
다사6667,172.5,402.5
다사6768,358.9,837.3
다사4444,126.2,294.4
다사5959,116.9,272.8
다사6060,143.2,334.1
다사6262,146.3,341.4
다사6767,222.1,518.0
다사3130,148.6,346.6
다사3231,173.1,403.9
다사4342,128.2,299.2
다사4847,133.1,310.4
다사5857,47.2,86.5
다사6766,92.1,214.9
다사3129,269.4,628.4
다사3230,160.0,373.1
다사4745,124.4,290.2
다사6159,141.1,329.2
다사6765,180.9,422.0
다사7371,71.9,167.7
다사3128,178.4,416.2
다사3229,68.5,159.7
다사3330,160.1,373.5
다사4239,87.3,203.8
다사4542,99.2,231.5
다사5754,62.0,144.7
다사5855,64.6,141.3
다사6057,119.9,279.7
다사6764,110.5,257.6
다사7370,335.0,781.5
다사7471,203.3,474.2
다사3127,317.9,741.5
다사4339,88.5,206.4
다사4440,115.5,269.5
다사4844,65.7,153.3
다사5753,50.9,111.1
다사5955,73.1,170.6
다사6763,116.7,272.3
다사7066,58.3,126.2
다사7167,148.4,346.4
다사7268,223.3,521.0
다사7369,206.0,480.6
다사7571,237.0,552.8
다사3833,180.7,421.5
다사4237,87.3,203.8
다사4641,128.2,299.2
다사4944,117.3,273.8
다사5651,65.1,142.3
다사5853,62.0,144.7
다사6661,102.0,237.8
다사6762,64.3,149.9
다사7065,146.5,341.8
다사7166,115.8,270.2
다사7267,358.6,836.7
다사7368,265.9,620.4
다사7570,237.5,554.1
다사3226,78.7,183.2
다사3327,70.7,164.6
다사3832,103.7,241.8
다사4640,118.2,275.9
다사5044,84.7,197.5
다사5751,140.5,327.8
다사6357,123.9,289.0
다사7064,164.3,383.2
다사7266,129.5,302.1
다사4033,206.0,480.5
다사4437,128.1,299.0
다사4538,119.5,278.8
다사4639,118.9,277.4
다사4942,120.9,282.1
다사5144,127.3,297.0
다사5952,85.6,199.8
다사6154,108.8,253.9
다사6558,65.6,153.1
다사6659,138.9,324.0
다사6962,56.3,86.7
다사7063,118.8,277.1
다사7164,92.2,215.2
다사7366,82.6,192.6
다사7972,187.1,436.6
다사4032,162.6,379.2
다사4335,98.6,230.2
다사4537,135.1,315.2
다사4638,135.1,315.2
다사4739,98.6,230.2
다사5042,113.5,264.9
다사5345,145.0,338.2
다사5951,107.7,251.3
다사6658,103.4,241.2
다사6759,113.1,263.9
다사6961,15.1,23.3
다사7264,168.0,392.0
다사7365,259.4,605.1
다사7971,141.5,329.8
다사3930,153.1,357.0
다사4132,41.8,88.9
다사4334,118.2,275.9
다사4637,128.1,299.0
다사4940,154.5,360.5
다사5041,113.2,264.2
다사6152,140.6,328.1
다사6758,114.4,266.9
다사6859,102.5,239.3
다사6960,15.7,24.3
다사7061,89.6,208.8
다사7465,19.8,25.7
다사8071,264.4,616.7
다사4232,170.4,397.5
다사5343,230.3,537.3
다사5444,176.2,410.8
다사6151,152.4,355.7
다사6656,232.5,542.5
다사6757,225.9,527.0
다사7161,113.1,263.8
다사7565,18.9,29.1
다사8070,266.6,621.9
다사3625,123.2,287.1
다사4736,34.8,53.9
다사5140,104.0,242.7
다사5342,60.0,128.4
다사5443,59.1,126.4
다사6655,79.4,185.1
다사6756,86.2,201.0
다사7160,269.3,628.3
다사7665,69.3,106.6
다사8069,221.6,516.8
다사8170,241.9,564.2
다사4230,136.9,319.5
다사4331,230.7,538.2
다사4634,92.9,216.7
다사4735,64.2,149.8
다사5139,149.0,347.6
다사5442,111.3,259.7
다사5543,227.5,530.7
다사5644,46.9,100.4
다사6553,59.4,87.5
다사7260,170.2,397.1
다사7765,22.5,34.7
다사8169,73.2,170.7
다사8270,144.1,336.1
다사3724,153.8,358.8
다사3926,92.1,214.9
다사4027,166.2,387.7
다사4330,355.3,828.8
다사4734,63.5,137.5
다사5441,71.9,167.6
다사5643,156.8,365.7
다사6148,80.8,188.5
다사6552,69.8,148.4
다사6653,17.7,20.8
다사6754,115.4,269.2
다사7360,178.4,416.2
다사8269,110.7,258.3
다사3723,135.4,316.0
다사3824,60.2,129.0
다사4632,58.4,133.9
다사4733,196.8,459.1
다사4834,44.8,97.0
